,Original Y,Predicted Y
0, <=50K,0
1, <=50K,0
2, <=50K,0
3, <=50K,0
4, <=50K,1
5, <=50K,1
6, <=50K,0
7, >50K,0
8, >50K,0
9, >50K,0
10, >50K,1
11, >50K,0
12, <=50K,0
13, <=50K,0
14, >50K,0
15, <=50K,1
16, <=50K,0
17, <=50K,0
18, <=50K,0
19, >50K,1
20, >50K,0
21, <=50K,1
22, <=50K,0
23, <=50K,0
24, <=50K,0
25, >50K,0
26, <=50K,0
27, >50K,0
28, <=50K,1
29, <=50K,0
30, <=50K,0
31, <=50K,1
32, <=50K,1
33, <=50K,0
34, <=50K,1
35, <=50K,1
36, <=50K,0
37, <=50K,1
38, >50K,0
39, <=50K,1
40, <=50K,1
41, <=50K,0
42, <=50K,0
43, <=50K,0
44, <=50K,1
45, >50K,1
46, <=50K,0
47, <=50K,0
48, <=50K,0
49, <=50K,1
50, <=50K,0
51, <=50K,0
52, >50K,0
53, >50K,1
54, <=50K,0
55, >50K,1
56, <=50K,0
57, <=50K,0
58, <=50K,0
59, <=50K,0
60, <=50K,0
61, <=50K,1
62, <=50K,0
63, >50K,0
64, <=50K,0
65, <=50K,0
66, <=50K,0
67, >50K,0
68, >50K,0
69, <=50K,0
70, <=50K,0
71, <=50K,1
72, >50K,0
73, <=50K,0
74, <=50K,0
75, <=50K,0
76, <=50K,0
77, <=50K,0
78, <=50K,1
79, <=50K,0
80, <=50K,1
81, <=50K,1
82, <=50K,0
83, <=50K,0
84, >50K,1
85, <=50K,1
86, >50K,1
87, <=50K,0
88, <=50K,0
89, >50K,1
90, <=50K,1
91, <=50K,1
92, <=50K,0
93, <=50K,0
94, >50K,0
95, <=50K,0
96, >50K,0
97, >50K,0
98, <=50K,0
99, <=50K,1
100, >50K,0
101, >50K,0
102, <=50K,0
103, <=50K,0
104, <=50K,0
105, >50K,1
106, <=50K,1
107, <=50K,0
108, <=50K,0
109, <=50K,0
110, <=50K,1
111, >50K,0
112, >50K,1
113, <=50K,1
114, <=50K,0
115, <=50K,0
116, <=50K,1
117, >50K,0
118, <=50K,1
119, <=50K,0
120, <=50K,0
121, <=50K,0
122, <=50K,0
123, >50K,1
124, <=50K,1
125, >50K,1
126, <=50K,0
127, >50K,0
128, <=50K,0
129, <=50K,1
130, <=50K,0
131, <=50K,0
132, <=50K,0
133, <=50K,1
134, <=50K,0
135, >50K,0
136, <=50K,0
137, <=50K,0
138, <=50K,0
139, >50K,0
140, <=50K,0
141, <=50K,0
142, <=50K,1
143, >50K,0
144, <=50K,0
145, <=50K,0
146, <=50K,0
147, <=50K,0
148, <=50K,0
149, <=50K,0
150, <=50K,0
151, <=50K,0
152, <=50K,0
153, <=50K,1
154, >50K,1
155, <=50K,0
156, <=50K,0
157, <=50K,1
158, <=50K,0
159, <=50K,0
160, <=50K,0
161, <=50K,1
162, <=50K,0
163, <=50K,0
164, >50K,0
165, <=50K,0
166, <=50K,1
167, <=50K,0
168, <=50K,0
169, <=50K,0
170, <=50K,0
171, <=50K,0
172, >50K,0
173, <=50K,1
174, >50K,0
175, <=50K,1
176, <=50K,1
177, <=50K,1
178, <=50K,0
179, <=50K,0
180, >50K,0
181, <=50K,0
182, <=50K,1
183, >50K,1
184, >50K,0
185, <=50K,1
186, <=50K,0
187, <=50K,0
188, <=50K,0
189, >50K,0
190, <=50K,0
191, <=50K,0
192, <=50K,1
193, <=50K,0
194, <=50K,0
195, <=50K,0
196, <=50K,0
197, >50K,0
198, >50K,0
199, <=50K,0
200, <=50K,1
201, <=50K,0
202, >50K,1
203, <=50K,1
204, <=50K,0
205, <=50K,0
206, >50K,0
207, <=50K,0
208, >50K,0
209, <=50K,0
210, <=50K,0
211, >50K,0
212, <=50K,0
213, <=50K,0
214, >50K,0
215, >50K,1
216, <=50K,1
217, <=50K,0
218, <=50K,0
219, <=50K,1
220, <=50K,0
221, <=50K,0
222, <=50K,0
223, <=50K,0
224, <=50K,0
225, <=50K,1
226, <=50K,0
227, <=50K,0
228, <=50K,1
229, <=50K,0
230, <=50K,1
231, <=50K,0
232, <=50K,0
233, <=50K,0
234, >50K,0
235, <=50K,1
236, <=50K,0
237, >50K,0
238, >50K,0
239, <=50K,0
240, >50K,1
241, <=50K,0
242, <=50K,1
243, <=50K,0
244, <=50K,0
245, <=50K,0
246, >50K,1
247, <=50K,0
248, >50K,0
249, <=50K,0
250, >50K,0
251, <=50K,1
252, <=50K,0
253, <=50K,0
254, <=50K,1
255, >50K,1
256, <=50K,0
257, <=50K,0
258, <=50K,0
259, <=50K,0
260, <=50K,0
261, <=50K,0
262, <=50K,1
263, <=50K,0
264, <=50K,1
265, >50K,1
266, <=50K,0
267, >50K,0
268, <=50K,0
269, >50K,0
270, >50K,0
271, <=50K,0
272, <=50K,0
273, <=50K,0
274, <=50K,0
275, <=50K,1
276, >50K,0
277, <=50K,0
